"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0,0.3,0.3,6,12,-0.557412396189722,0.06
6,2,0.3,0.3,0.3,6,12,-0.359297189520406,0.3
6,2,0,0.3,0.3,8,12,-0.146957532338288,0.56
6,2,0.3,0.3,0.3,8,12,-0.516656288847888,0.0566666666666667
6,2,0,0.3,0.3,10,12,-0.118690150242484,0.563333333333333
6,2,0.3,0.3,0.3,10,12,-0.337705971161797,0.183333333333333
6,2,0,0.3,0.3,12,12,0.13309129854831,0.506666666666667
6,2,0.3,0.3,0.3,12,12,0.0440353294698952,0.81
6,2,0,0.3,0.3,14,12,-0.113388471860202,0.58
6,2,0.3,0.3,0.3,14,12,-0.363739527042726,0.0666666666666667
6,2,0,0.3,0.3,16,12,-0.0424103968482341,0.823333333333333
6,2,0.3,0.3,0.3,16,12,-0.251587576652349,0.15
6,2,0,0.3,0.3,6,13,0.374485825371636,0.233333333333333
6,2,0.3,0.3,0.3,6,13,0.636810039053764,0.0233333333333333
6,2,0,0.3,0.3,8,13,-0.18556102414682,0.486666666666667
6,2,0.3,0.3,0.3,8,13,-0.669831173152053,0.0166666666666667
6,2,0,0.3,0.3,10,13,-0.53046912715793,0.0366666666666667
6,2,0.3,0.3,0.3,10,13,-0.0931845855730427,0.696666666666667
6,2,0,0.3,0.3,12,13,-0.110613084735028,0.573333333333333
6,2,0.3,0.3,0.3,12,13,-0.00571101137352582,0.97
6,2,0,0.3,0.3,14,13,-0.275260267037937,0.18
6,2,0.3,0.3,0.3,14,13,-0.60008626213739,0.00333333333333333
6,2,0,0.3,0.3,16,13,0.194419688754481,0.27
6,2,0.3,0.3,0.3,16,13,-0.197761572709737,0.293333333333333
6,2,0,0.3,0.3,6,14,-0.458273034240909,0.123333333333333
6,2,0.3,0.3,0.3,6,14,0.0817489730846675,0.786666666666667
6,2,0,0.3,0.3,8,14,-0.0431073734734535,0.863333333333333
6,2,0.3,0.3,0.3,8,14,-0.326999246872843,0.19
6,2,0,0.3,0.3,10,14,-0.0936074952383196,0.666666666666667
6,2,0.3,0.3,0.3,10,14,-0.376746922746092,0.106666666666667
6,2,0,0.3,0.3,12,14,0.152215771536302,0.476666666666667
6,2,0.3,0.3,0.3,12,14,-0.323064358999361,0.123333333333333
6,2,0,0.3,0.3,14,14,0.0778212871706295,0.676666666666667
6,2,0.3,0.3,0.3,14,14,-0.338109772307713,0.11
6,2,0,0.3,0.3,16,14,0.103955699796988,0.57
6,2,0.3,0.3,0.3,16,14,-0.451557361122398,0.0233333333333333
6,2,0,0.3,0.3,6,15,-0.0536158882857725,0.873333333333333
6,2,0.3,0.3,0.3,6,15,-0.0150345044275509,0.97
6,2,0,0.3,0.3,8,15,-0.0492396367280434,0.833333333333333
6,2,0.3,0.3,0.3,8,15,-0.501998016179837,0.06
6,2,0,0.3,0.3,10,15,-0.257779185525455,0.253333333333333
6,2,0.3,0.3,0.3,10,15,0.0476560268414764,0.823333333333333
6,2,0,0.3,0.3,12,15,0.172124081512927,0.386666666666667
6,2,0.3,0.3,0.3,12,15,0.129315678012198,0.6
6,2,0,0.3,0.3,14,15,-0.222539753842719,0.23
6,2,0.3,0.3,0.3,14,15,0.431797936467409,0.0133333333333333
6,2,0,0.3,0.3,16,15,-0.288386744088863,0.143333333333333
6,2,0.3,0.3,0.3,16,15,-0.0783774459024753,0.703333333333333
6,2,0,0.3,0.3,6,16,0.257656141289237,0.37
6,2,0.3,0.3,0.3,6,16,0.0102975149801086,0.97
6,2,0,0.3,0.3,8,16,0.260048935031214,0.326666666666667
6,2,0.3,0.3,0.3,8,16,-0.763643360609886,0.00666666666666667
6,2,0,0.3,0.3,10,16,-0.147953888499987,0.53
6,2,0.3,0.3,0.3,10,16,-0.407533978834661,0.0766666666666667
6,2,0,0.3,0.3,12,16,-0.0784610523245307,0.716666666666667
6,2,0.3,0.3,0.3,12,16,-0.145958920386894,0.496666666666667
6,2,0,0.3,0.3,14,16,0.367125795932432,0.0533333333333333
6,2,0.3,0.3,0.3,14,16,-0.291754703515803,0.136666666666667
6,2,0,0.3,0.3,16,16,-0.0401268261772115,0.833333333333333
6,2,0.3,0.3,0.3,16,16,-0.366825148591973,0.07
6,2,0,0.3,0.3,6,17,0.0232952786631395,0.923333333333333
6,2,0.3,0.3,0.3,6,17,-0.680365238168791,0.0233333333333333
6,2,0,0.3,0.3,8,17,-0.259368242845536,0.346666666666667
6,2,0.3,0.3,0.3,8,17,-0.333955502346603,0.19
6,2,0,0.3,0.3,10,17,0.473850824497798,0.0666666666666667
6,2,0.3,0.3,0.3,10,17,-0.329588387847946,0.153333333333333
6,2,0,0.3,0.3,12,17,0.194018042506991,0.366666666666667
6,2,0.3,0.3,0.3,12,17,-0.613646769096567,0.00666666666666667
6,2,0,0.3,0.3,14,17,0.04810292038193,0.806666666666667
6,2,0.3,0.3,0.3,14,17,-0.247911960576721,0.25
6,2,0,0.3,0.3,16,17,0.241792559057796,0.226666666666667
6,2,0.3,0.3,0.3,16,17,-0.386002475698379,0.0533333333333333
