"nGroupT","nGroupC","ef","rho","propC","sampleSize","iteration","coef","boot_pval"
6,2,0.3,0.3,0.3,10,8,-0.0373208671209624,0.903333333333333
6,2,0,0.3,0.3,15,8,-0.352352166339927,0.0666666666666667
6,2,0.3,0.3,0.3,15,8,-0.197679264521018,0.276666666666667
6,2,0,0.3,0.3,20,8,0.018951646628884,0.936666666666667
6,2,0.3,0.3,0.3,20,8,-0.0910006090946999,0.59
6,2,0,0.3,0.3,25,8,-0.0940744818545351,0.533333333333333
6,2,0.3,0.3,0.3,25,8,-0.548495969083474,0.00333333333333333
6,2,0,0.3,0.3,30,8,-0.0766865603164088,0.546666666666667
6,2,0.3,0.3,0.3,30,8,-0.350179390406379,0.01
6,2,0,0.3,0.3,35,8,-0.0341846339317992,0.776666666666667
6,2,0.3,0.3,0.3,35,8,-0.346048305753558,0
6,2,0,0.3,0.3,40,8,-0.0614248267761468,0.663333333333333
6,2,0.3,0.3,0.3,40,8,0.0230626999942472,0.833333333333333
6,2,0,0.3,0.3,10,9,0.140750352925267,0.55
6,2,0.3,0.3,0.3,10,9,-0.207275581012201,0.37
6,2,0,0.3,0.3,15,9,-0.270129113688737,0.13
6,2,0.3,0.3,0.3,15,9,-0.426968011039665,0.0433333333333333
6,2,0,0.3,0.3,20,9,-0.316930766200529,0.0566666666666667
6,2,0.3,0.3,0.3,20,9,-0.431807200362458,0.0133333333333333
6,2,0,0.3,0.3,25,9,-0.146664665306737,0.336666666666667
6,2,0.3,0.3,0.3,25,9,-0.190598129387311,0.203333333333333
6,2,0,0.3,0.3,30,9,0.0797218708558301,0.536666666666667
6,2,0.3,0.3,0.3,30,9,-0.368768822625863,0.0166666666666667
6,2,0,0.3,0.3,35,9,-0.19276879726748,0.123333333333333
6,2,0.3,0.3,0.3,35,9,-0.367448219285457,0
6,2,0,0.3,0.3,40,9,0.297350982745554,0.0166666666666667
6,2,0.3,0.3,0.3,40,9,-0.289066941821942,0.01
6,2,0,0.3,0.3,10,10,-0.0542566956530417,0.77
6,2,0.3,0.3,0.3,10,10,-0.465387520059133,0.0866666666666667
6,2,0,0.3,0.3,15,10,0.267066404748642,0.18
6,2,0.3,0.3,0.3,15,10,-0.256113755755046,0.136666666666667
6,2,0,0.3,0.3,20,10,0.146498464484978,0.386666666666667
6,2,0.3,0.3,0.3,20,10,-0.533216810898343,0.00333333333333333
6,2,0,0.3,0.3,25,10,-0.0874174732571264,0.58
6,2,0.3,0.3,0.3,25,10,-0.297187177983229,0.0766666666666667
6,2,0,0.3,0.3,30,10,-0.121841039939055,0.35
6,2,0.3,0.3,0.3,30,10,-0.238758705386064,0.08
6,2,0,0.3,0.3,35,10,-0.00545341481235452,0.963333333333333
6,2,0.3,0.3,0.3,35,10,-0.3765866590594,0.00666666666666667
6,2,0,0.3,0.3,40,10,-0.0649216022513368,0.533333333333333
6,2,0.3,0.3,0.3,40,10,-0.322047979349401,0.00333333333333333
6,2,0,0.3,0.3,10,11,-0.167798685334615,0.48
6,2,0.3,0.3,0.3,10,11,-0.546995575969969,0.0266666666666667
6,2,0,0.3,0.3,15,11,0.0653754769509666,0.723333333333333
6,2,0.3,0.3,0.3,15,11,-0.519743797463911,0.00666666666666667
6,2,0,0.3,0.3,20,11,-0.112493005564947,0.453333333333333
6,2,0.3,0.3,0.3,20,11,-0.182515023777095,0.293333333333333
6,2,0,0.3,0.3,25,11,-0.0477406174899022,0.76
6,2,0.3,0.3,0.3,25,11,-0.472003314935151,0.00333333333333333
6,2,0,0.3,0.3,30,11,0.0422830294934434,0.786666666666667
6,2,0.3,0.3,0.3,30,11,-0.237979397730024,0.07
6,2,0,0.3,0.3,35,11,0.168355353531688,0.166666666666667
6,2,0.3,0.3,0.3,35,11,-0.225920220705018,0.0833333333333333
6,2,0,0.3,0.3,40,11,-0.321033235505872,0.0133333333333333
6,2,0.3,0.3,0.3,40,11,0.0699764102629194,0.546666666666667
6,2,0,0.3,0.3,10,12,-0.0189587704059575,0.94
6,2,0.3,0.3,0.3,10,12,-0.131704249750985,0.58
6,2,0,0.3,0.3,15,12,0.079536504290047,0.64
6,2,0.3,0.3,0.3,15,12,-0.0958550789426866,0.593333333333333
6,2,0,0.3,0.3,20,12,0.300182268396348,0.0733333333333333
6,2,0.3,0.3,0.3,20,12,-0.124711767623178,0.46
6,2,0,0.3,0.3,25,12,0.0391473396377676,0.806666666666667
6,2,0.3,0.3,0.3,25,12,-0.147154505840103,0.306666666666667
6,2,0,0.3,0.3,30,12,0.0672916909357962,0.63
6,2,0.3,0.3,0.3,30,12,-0.463210584103375,0.00333333333333333
6,2,0,0.3,0.3,35,12,-0.176740391726985,0.176666666666667
6,2,0.3,0.3,0.3,35,12,-0.557498022437832,0
6,2,0,0.3,0.3,40,12,0.00597196953473757,0.966666666666667
6,2,0.3,0.3,0.3,40,12,-0.281204701383182,0.0333333333333333
6,2,0,0.3,0.3,10,13,-0.186662560588513,0.41
6,2,0.3,0.3,0.3,10,13,-0.63002068322963,0
6,2,0,0.3,0.3,15,13,0.0786433600329253,0.616666666666667
6,2,0.3,0.3,0.3,15,13,-0.455611352442772,0.03
6,2,0,0.3,0.3,20,13,-0.294666092515535,0.05
6,2,0.3,0.3,0.3,20,13,-0.396046449353374,0.0366666666666667
6,2,0,0.3,0.3,25,13,-0.0587937239726508,0.69
6,2,0.3,0.3,0.3,25,13,-0.364641911748581,0.0166666666666667
6,2,0,0.3,0.3,30,13,-0.0617160811065106,0.693333333333333
6,2,0.3,0.3,0.3,30,13,-0.468623348854265,0.00333333333333333
6,2,0,0.3,0.3,35,13,-0.1007647692324,0.383333333333333
6,2,0.3,0.3,0.3,35,13,-0.267106067665732,0.03
6,2,0,0.3,0.3,40,13,0.070769859177952,0.506666666666667
6,2,0.3,0.3,0.3,40,13,-0.543348265313394,0
6,2,0,0.3,0.3,10,14,0.0674900688386958,0.74
6,2,0.3,0.3,0.3,10,14,-0.223975407864892,0.34
6,2,0,0.3,0.3,15,14,-0.242197969449806,0.21
6,2,0.3,0.3,0.3,15,14,-0.391486479832406,0.0466666666666667
6,2,0,0.3,0.3,20,14,-0.0762555107376066,0.633333333333333
6,2,0.3,0.3,0.3,20,14,-0.399291096207558,0.0233333333333333
6,2,0,0.3,0.3,25,14,0.169861766333547,0.203333333333333
6,2,0.3,0.3,0.3,25,14,-0.132400094975587,0.31
6,2,0,0.3,0.3,30,14,-0.0295154498572208,0.81
6,2,0.3,0.3,0.3,30,14,-0.365898465429767,0.01
6,2,0,0.3,0.3,35,14,-0.00731615178134795,0.966666666666667
6,2,0.3,0.3,0.3,35,14,-0.429405621551277,0
