"nGroupT","nGroupC","sdC","iteration","meanC","ef","rho","sampleSize","idSD","coef","boot_pval"
6,2,0.2,80,10,0,0.3,6,3,0.883353116512524,0.352
6,2,0.2,419,10,0,0.3,6,3,1.38728737334574,0.354
6,2,0.2,338,10,0,0.3,6,3,0.690396229933413,0.356
6,2,0.2,429,10,0,0.3,6,3,0.689158944740939,0.358
6,2,0.2,151,10,0,0.3,6,3,-0.366494996367834,0.362
6,2,0.2,326,10,0,0.3,6,3,-0.815826219693292,0.364
6,2,0.2,491,10,0,0.3,6,3,-0.551508698404632,0.364
6,2,0.2,383,10,0,0.3,6,3,1.21551737584383,0.366
6,2,0.2,27,10,0,0.3,6,3,-0.996141256310892,0.372
6,2,0.2,198,10,0,0.3,6,3,0.496857360484427,0.374
6,2,0.2,471,10,0,0.3,6,3,0.382938311013163,0.376
6,2,0.2,496,10,0,0.3,6,3,0.546201208177962,0.376
6,2,0.2,67,10,0,0.3,6,3,-0.441021372083725,0.378
6,2,0.2,382,10,0,0.3,6,3,-0.558618868902698,0.378
6,2,0.2,265,10,0,0.3,6,3,-0.75501677192355,0.386
6,2,0.2,274,10,0,0.3,6,3,-0.243783519379605,0.388
6,2,0.2,448,10,0,0.3,6,3,0.412602236541488,0.39
6,2,0.2,41,10,0,0.3,6,3,-1.13071700251041,0.392
6,2,0.2,251,10,0,0.3,6,3,0.841838016816013,0.394
6,2,0.2,343,10,0,0.3,6,3,-0.720972028012312,0.394
6,2,0.2,483,10,0,0.3,6,3,-0.424658456894093,0.394
6,2,0.2,399,10,0,0.3,6,3,0.539602658853653,0.398
6,2,0.2,426,10,0,0.3,6,3,-0.548198783855923,0.398
6,2,0.2,129,10,0,0.3,6,3,-0.561914426968656,0.4
6,2,0.2,35,10,0,0.3,6,3,0.632483148270722,0.404
6,2,0.2,205,10,0,0.3,6,3,0.314470248998248,0.406
6,2,0.2,44,10,0,0.3,6,3,0.494086126594738,0.41
6,2,0.2,135,10,0,0.3,6,3,-0.533054505856001,0.41
6,2,0.2,299,10,0,0.3,6,3,-0.291979074454446,0.414
6,2,0.2,324,10,0,0.3,6,3,0.54522416912593,0.418
6,2,0.2,113,10,0,0.3,6,3,-1.26017927800152,0.422
6,2,0.2,177,10,0,0.3,6,3,-0.979081978054893,0.426
6,2,0.2,387,10,0,0.3,6,3,0.55173314687795,0.428
6,2,0.2,405,10,0,0.3,6,3,-0.646176610828775,0.43
6,2,0.2,435,10,0,0.3,6,3,0.639161420113254,0.43
6,2,0.2,189,10,0,0.3,6,3,-0.385862247518702,0.432
6,2,0.2,247,10,0,0.3,6,3,-0.854253316111709,0.432
6,2,0.2,473,10,0,0.3,6,3,-0.274216693263895,0.432
6,2,0.2,145,10,0,0.3,6,3,-0.561608010295942,0.436
6,2,0.2,246,10,0,0.3,6,3,-0.618982165785752,0.438
6,2,0.2,427,10,0,0.3,6,3,-0.54852847748873,0.44
6,2,0.2,45,10,0,0.3,6,3,0.39122587660637,0.442
6,2,0.2,406,10,0,0.3,6,3,-0.391507162601187,0.442
6,2,0.2,380,10,0,0.3,6,3,0.820806148108147,0.45
6,2,0.2,108,10,0,0.3,6,3,0.426541930514986,0.456
6,2,0.2,38,10,0,0.3,6,3,1.01984374177792,0.462
6,2,0.2,446,10,0,0.3,6,3,-0.520572090169139,0.462
6,2,0.2,226,10,0,0.3,6,3,0.388426301562987,0.464
6,2,0.2,241,10,0,0.3,6,3,0.631812200444699,0.468
6,2,0.2,26,10,0,0.3,6,3,0.680471141036577,0.47
6,2,0.2,350,10,0,0.3,6,3,0.279160344377601,0.476
6,2,0.2,237,10,0,0.3,6,3,0.552870660037115,0.478
6,2,0.2,250,10,0,0.3,6,3,0.626842479304685,0.478
6,2,0.2,33,10,0,0.3,6,3,0.222536562711582,0.48
6,2,0.2,244,10,0,0.3,6,3,0.781236686712845,0.48
6,2,0.2,5,10,0,0.3,6,3,0.411875563454743,0.484
6,2,0.2,430,10,0,0.3,6,3,0.218201021906282,0.484
6,2,0.2,183,10,0,0.3,6,3,-0.511864979024921,0.486
6,2,0.2,115,10,0,0.3,6,3,-1.52910624979751,0.492
6,2,0.2,437,10,0,0.3,6,3,-0.903838425065345,0.494
6,2,0.2,36,10,0,0.3,6,3,-0.457320422666015,0.496
6,2,0.2,421,10,0,0.3,6,3,-1.27251453017735,0.496
6,2,0.2,156,10,0,0.3,6,3,-0.254536940402033,0.502
6,2,0.2,482,10,0,0.3,6,3,-1.31042468395273,0.504
6,2,0.2,162,10,0,0.3,6,3,0.961793168604316,0.506
6,2,0.2,428,10,0,0.3,6,3,0.418175310257425,0.514
6,2,0.2,478,10,0,0.3,6,3,0.53354052857739,0.52
6,2,0.2,197,10,0,0.3,6,3,0.712503429521206,0.524
6,2,0.2,182,10,0,0.3,6,3,0.408063341686699,0.526
6,2,0.2,2,10,0,0.3,6,3,0.590327791894907,0.528
6,2,0.2,400,10,0,0.3,6,3,1.22815939059282,0.532
6,2,0.2,193,10,0,0.3,6,3,0.200468163367503,0.534
6,2,0.2,271,10,0,0.3,6,3,0.524074636587443,0.534
6,2,0.2,298,10,0,0.3,6,3,-0.483702344120985,0.534
6,2,0.2,352,10,0,0.3,6,3,0.823390158584687,0.534
6,2,0.2,255,10,0,0.3,6,3,-1.48808183826299,0.538
6,2,0.2,4,10,0,0.3,6,3,0.357860510177517,0.54
6,2,0.2,291,10,0,0.3,6,3,0.541228666770735,0.542
6,2,0.2,39,10,0,0.3,6,3,0.360533342340716,0.548
6,2,0.2,407,10,0,0.3,6,3,-0.244981515844671,0.548
6,2,0.2,277,10,0,0.3,6,3,-1.05542451826042,0.55
6,2,0.2,362,10,0,0.3,6,3,-0.359910431167123,0.552
6,2,0.2,485,10,0,0.3,6,3,0.282591220421267,0.568
6,2,0.2,216,10,0,0.3,6,3,-0.465586387804166,0.57
6,2,0.2,217,10,0,0.3,6,3,-0.873446818689928,0.57
6,2,0.2,353,10,0,0.3,6,3,0.574823128520478,0.576
6,2,0.2,29,10,0,0.3,6,3,1.01804307924814,0.578
6,2,0.2,272,10,0,0.3,6,3,-0.322016720014005,0.584
6,2,0.2,40,10,0,0.3,6,3,0.444484954205279,0.59
6,2,0.2,116,10,0,0.3,6,3,-1.27968988451076,0.596
6,2,0.2,204,10,0,0.3,6,3,-0.500179426665341,0.596
6,2,0.2,311,10,0,0.3,6,3,0.820296922520185,0.596
6,2,0.2,159,10,0,0.3,6,3,-0.96001198184922,0.598
6,2,0.2,425,10,0,0.3,6,3,-0.239196012410957,0.598
6,2,0.2,484,10,0,0.3,6,3,0.328621914981085,0.598
6,2,0.2,25,10,0,0.3,6,3,0.308083187208524,0.602
6,2,0.2,79,10,0,0.3,6,3,0.34197595466847,0.602
6,2,0.2,270,10,0,0.3,6,3,-0.710771997878112,0.602
6,2,0.2,436,10,0,0.3,6,3,-0.387624678684261,0.604
6,2,0.2,136,10,0,0.3,6,3,-0.404900834145479,0.606
6,2,0.2,95,10,0,0.3,6,3,-0.927529627219116,0.608
6,2,0.2,100,10,0,0.3,6,3,0.152592974049639,0.608
6,2,0.2,149,10,0,0.3,6,3,0.442560944223175,0.608
6,2,0.2,93,10,0,0.3,6,3,-0.213211411373692,0.61
6,2,0.2,78,10,0,0.3,6,3,0.306272786760303,0.612
6,2,0.2,234,10,0,0.3,6,3,1.13379931465289,0.612
6,2,0.2,452,10,0,0.3,6,3,-0.528841681604121,0.612
6,2,0.2,377,10,0,0.3,6,3,0.271756042855884,0.614
6,2,0.2,488,10,0,0.3,6,3,0.589958533710217,0.614
6,2,0.2,490,10,0,0.3,6,3,0.551951208129253,0.614
6,2,0.2,280,10,0,0.3,6,3,1.04490348130611,0.616
6,2,0.2,337,10,0,0.3,6,3,-0.871236846543411,0.616
6,2,0.2,487,10,0,0.3,6,3,0.49204536047182,0.618
6,2,0.2,231,10,0,0.3,6,3,0.392183480068525,0.62
6,2,0.2,118,10,0,0.3,6,3,-0.747746933584892,0.624
6,2,0.2,243,10,0,0.3,6,3,1.23804540624667,0.63
6,2,0.2,249,10,0,0.3,6,3,-0.682475073021152,0.63
6,2,0.2,349,10,0,0.3,6,3,-0.255491804488003,0.63
6,2,0.2,16,10,0,0.3,6,3,-0.291298646260401,0.632
6,2,0.2,412,10,0,0.3,6,3,-0.22981734593597,0.632
6,2,0.2,23,10,0,0.3,6,3,0.49564566705422,0.634
6,2,0.2,109,10,0,0.3,6,3,-0.190097210516882,0.634
6,2,0.2,285,10,0,0.3,6,3,-0.231743903465883,0.638
6,2,0.2,18,10,0,0.3,6,3,-0.360135856843044,0.64
6,2,0.2,90,10,0,0.3,6,3,-0.4422760854182,0.64
6,2,0.2,134,10,0,0.3,6,3,-0.135848835244389,0.64
6,2,0.2,268,10,0,0.3,6,3,-0.293568407307248,0.64
6,2,0.2,200,10,0,0.3,6,3,0.739488118315791,0.642
6,2,0.2,316,10,0,0.3,6,3,0.780419127213008,0.642
6,2,0.2,62,10,0,0.3,6,3,0.85571676334979,0.644
6,2,0.2,166,10,0,0.3,6,3,0.515543566547308,0.646
6,2,0.2,422,10,0,0.3,6,3,-0.301092936185569,0.65
6,2,0.2,494,10,0,0.3,6,3,-0.677484149157806,0.65
6,2,0.2,390,10,0,0.3,6,3,-0.357461298978109,0.656
6,2,0.2,450,10,0,0.3,6,3,0.421677109279244,0.656
6,2,0.2,489,10,0,0.3,6,3,0.596523056146111,0.658
6,2,0.2,148,10,0,0.3,6,3,-0.357830032246,0.66
6,2,0.2,365,10,0,0.3,6,3,0.614886044902761,0.662
6,2,0.2,440,10,0,0.3,6,3,-0.546846794941956,0.662
6,2,0.2,61,10,0,0.3,6,3,-0.404433339389527,0.666
6,2,0.2,140,10,0,0.3,6,3,-0.501081466720763,0.666
6,2,0.2,318,10,0,0.3,6,3,0.272333386186915,0.666
6,2,0.2,447,10,0,0.3,6,3,-0.337155881403191,0.668
6,2,0.2,152,10,0,0.3,6,3,1.10538993372387,0.672
6,2,0.2,14,10,0,0.3,6,3,-0.24850346411975,0.674
6,2,0.2,31,10,0,0.3,6,3,-0.333003832661632,0.674
6,2,0.2,105,10,0,0.3,6,3,0.434205760845941,0.674
6,2,0.2,295,10,0,0.3,6,3,-0.410470231527597,0.674
6,2,0.2,91,10,0,0.3,6,3,-0.26524102831263,0.676
6,2,0.2,342,10,0,0.3,6,3,0.501483399890105,0.676
6,2,0.2,376,10,0,0.3,6,3,0.539762335069213,0.676
6,2,0.2,54,10,0,0.3,6,3,0.866347352826153,0.678
6,2,0.2,416,10,0,0.3,6,3,-0.511421103967194,0.682
6,2,0.2,19,10,0,0.3,6,3,-0.235835651118094,0.684
6,2,0.2,228,10,0,0.3,6,3,-0.362141868283231,0.684
6,2,0.2,199,10,0,0.3,6,3,-0.205539004543766,0.688
6,2,0.2,123,10,0,0.3,6,3,0.492889819946612,0.69
6,2,0.2,245,10,0,0.3,6,3,-0.382069112626425,0.69
6,2,0.2,7,10,0,0.3,6,3,-0.245113764611119,0.692
6,2,0.2,70,10,0,0.3,6,3,-0.179337135227485,0.692
6,2,0.2,56,10,0,0.3,6,3,0.221883695901738,0.694
6,2,0.2,15,10,0,0.3,6,3,0.27887284264429,0.696
6,2,0.2,307,10,0,0.3,6,3,0.743181451754737,0.696
6,2,0.2,13,10,0,0.3,6,3,-0.22139646508839,0.698
6,2,0.2,46,10,0,0.3,6,3,-0.529541505200768,0.698
6,2,0.2,155,10,0,0.3,6,3,0.286275009683692,0.702
6,2,0.2,150,10,0,0.3,6,3,-0.527612418244786,0.704
6,2,0.2,131,10,0,0.3,6,3,0.359439632931412,0.706
6,2,0.2,348,10,0,0.3,6,3,-0.510208055964398,0.706
6,2,0.2,88,10,0,0.3,6,3,-0.408867015492291,0.71
6,2,0.2,51,10,0,0.3,6,3,0.310797786849889,0.712
6,2,0.2,305,10,0,0.3,6,3,-0.618927016584792,0.712
6,2,0.2,321,10,0,0.3,6,3,0.252930888331662,0.712
6,2,0.2,76,10,0,0.3,6,3,0.620531357458532,0.716
6,2,0.2,187,10,0,0.3,6,3,-0.309251319011764,0.716
6,2,0.2,288,10,0,0.3,6,3,-0.416831326575647,0.716
6,2,0.2,82,10,0,0.3,6,3,0.121641577729719,0.718
6,2,0.2,201,10,0,0.3,6,3,-0.595566857626352,0.72
6,2,0.2,477,10,0,0.3,6,3,0.253499378044722,0.72
6,2,0.2,276,10,0,0.3,6,3,-0.329731471242184,0.722
6,2,0.2,333,10,0,0.3,6,3,0.207941957041101,0.722
6,2,0.2,486,10,0,0.3,6,3,0.266572586118031,0.722
6,2,0.2,179,10,0,0.3,6,3,-0.332205884246719,0.724
6,2,0.2,81,10,0,0.3,6,3,0.24650803104231,0.726
6,2,0.2,340,10,0,0.3,6,3,0.460718774311317,0.73
6,2,0.2,12,10,0,0.3,6,3,-0.209823956832935,0.734
6,2,0.2,433,10,0,0.3,6,3,0.529257917727506,0.736
6,2,0.2,468,10,0,0.3,6,3,0.216944371319101,0.736
6,2,0.2,117,10,0,0.3,6,3,-0.259303436045855,0.738
6,2,0.2,126,10,0,0.3,6,3,-0.287566127038531,0.74
6,2,0.2,388,10,0,0.3,6,3,0.276091929659316,0.742
6,2,0.2,453,10,0,0.3,6,3,0.248036240848563,0.742
6,2,0.2,239,10,0,0.3,6,3,-0.248186923444621,0.748
6,2,0.2,262,10,0,0.3,6,3,-0.235430852524757,0.748
6,2,0.2,97,10,0,0.3,6,3,0.242351273698432,0.75
6,2,0.2,49,10,0,0.3,6,3,0.138277675904618,0.752
6,2,0.2,328,10,0,0.3,6,3,-0.354715814244571,0.754
6,2,0.2,361,10,0,0.3,6,3,0.288342816987637,0.756
6,2,0.2,414,10,0,0.3,6,3,0.210595639671482,0.756
6,2,0.2,302,10,0,0.3,6,3,-0.260829709387394,0.758
6,2,0.2,363,10,0,0.3,6,3,-0.268361668221047,0.758
6,2,0.2,191,10,0,0.3,6,3,-0.147343277616528,0.76
6,2,0.2,64,10,0,0.3,6,3,0.362637581210862,0.762
6,2,0.2,141,10,0,0.3,6,3,-0.1106520246218,0.762
6,2,0.2,210,10,0,0.3,6,3,0.257820304058043,0.762
6,2,0.2,424,10,0,0.3,6,3,0.437222462263435,0.762
6,2,0.2,292,10,0,0.3,6,3,0.409194302166128,0.764
6,2,0.2,364,10,0,0.3,6,3,0.114605413977841,0.764
6,2,0.2,395,10,0,0.3,6,3,0.236661680763717,0.764
6,2,0.2,470,10,0,0.3,6,3,0.309759102606932,0.764
6,2,0.2,282,10,0,0.3,6,3,0.293242263986855,0.766
6,2,0.2,404,10,0,0.3,6,3,-0.277854918398162,0.766
6,2,0.2,229,10,0,0.3,6,3,-0.107448443791213,0.768
