"nGroupT","nGroupC","sdC","iteration","meanC","ef","rho","sampleSize","idSD","coef","boot_pval"
6,2,0.2,310,10,0,0.3,6,3,-0.996547145193603,0.144
6,2,0.2,81,10,0,0.3,6,3,0.631969602008837,0.146
6,2,0.2,338,10,0,0.3,6,3,-0.57901644007103,0.146
6,2,0.2,441,10,0,0.3,6,3,0.843820021280351,0.146
6,2,0.2,177,10,0,0.3,6,3,-1.69332964452201,0.15
6,2,0.2,182,10,0,0.3,6,3,-1.17777095650987,0.15
6,2,0.2,385,10,0,0.3,6,3,-1.36426977901118,0.15
6,2,0.2,99,10,0,0.3,6,3,1.15245232934487,0.152
6,2,0.2,212,10,0,0.3,6,3,1.27897529800865,0.152
6,2,0.2,226,10,0,0.3,6,3,0.737201719330272,0.152
6,2,0.2,498,10,0,0.3,6,3,-1.41297811042512,0.152
6,2,0.2,68,10,0,0.3,6,3,-1.21500372539919,0.158
6,2,0.2,448,10,0,0.3,6,3,0.62814519509277,0.158
6,2,0.2,303,10,0,0.3,6,3,-0.864597043313324,0.162
6,2,0.2,163,10,0,0.3,6,3,0.610605927257353,0.164
6,2,0.2,215,10,0,0.3,6,3,-0.905618048428408,0.164
6,2,0.2,262,10,0,0.3,6,3,1.00431922461246,0.164
6,2,0.2,351,10,0,0.3,6,3,-0.659274009975775,0.164
6,2,0.2,359,10,0,0.3,6,3,-0.597020436460014,0.164
6,2,0.2,7,10,0,0.3,6,3,1.24352310878635,0.166
6,2,0.2,143,10,0,0.3,6,3,-1.85564964334617,0.166
6,2,0.2,427,10,0,0.3,6,3,-0.720201170548222,0.166
6,2,0.2,151,10,0,0.3,6,3,-0.951173320569353,0.168
6,2,0.2,357,10,0,0.3,6,3,-0.554440770575866,0.168
6,2,0.2,45,10,0,0.3,6,3,1.22816345824879,0.174
6,2,0.2,159,10,0,0.3,6,3,-0.814366481039315,0.174
6,2,0.2,115,10,0,0.3,6,3,0.861406228727844,0.176
6,2,0.2,274,10,0,0.3,6,3,1.29333663805875,0.176
6,2,0.2,51,10,0,0.3,6,3,-0.76184155516836,0.178
6,2,0.2,185,10,0,0.3,6,3,-0.551570448285077,0.178
6,2,0.2,129,10,0,0.3,6,3,1.35840259675953,0.18
6,2,0.2,352,10,0,0.3,6,3,-1.22071339991811,0.18
6,2,0.2,14,10,0,0.3,6,3,-0.975540505476431,0.182
6,2,0.2,273,10,0,0.3,6,3,-0.548906422638964,0.182
6,2,0.2,500,10,0,0.3,6,3,0.696228843412626,0.184
6,2,0.2,178,10,0,0.3,6,3,-1.08523505348001,0.186
6,2,0.2,393,10,0,0.3,6,3,1.36913624673716,0.192
6,2,0.2,15,10,0,0.3,6,3,0.853690141284289,0.194
6,2,0.2,431,10,0,0.3,6,3,0.589460322866245,0.198
6,2,0.2,345,10,0,0.3,6,3,-0.520171824654994,0.204
6,2,0.2,54,10,0,0.3,6,3,-0.494092708773564,0.206
6,2,0.2,97,10,0,0.3,6,3,-1.24017017456873,0.206
6,2,0.2,43,10,0,0.3,6,3,-0.584664712433153,0.21
6,2,0.2,77,10,0,0.3,6,3,0.972845343319989,0.21
6,2,0.2,460,10,0,0.3,6,3,0.687240975159597,0.212
6,2,0.2,65,10,0,0.3,6,3,0.749995489556625,0.214
6,2,0.2,80,10,0,0.3,6,3,-0.49135711163666,0.214
6,2,0.2,167,10,0,0.3,6,3,-0.685740129585866,0.22
6,2,0.2,413,10,0,0.3,6,3,1.12314754241314,0.22
6,2,0.2,495,10,0,0.3,6,3,0.630269591996893,0.22
6,2,0.2,235,10,0,0.3,6,3,-1.11091022163706,0.222
6,2,0.2,90,10,0,0.3,6,3,0.717435106965354,0.23
6,2,0.2,224,10,0,0.3,6,3,0.944885706528794,0.238
6,2,0.2,370,10,0,0.3,6,3,-1.04729241993959,0.238
6,2,0.2,31,10,0,0.3,6,3,-0.572601159466359,0.24
6,2,0.2,390,10,0,0.3,6,3,-0.419592151237566,0.242
6,2,0.2,39,10,0,0.3,6,3,-0.438522871344844,0.248
