"nGroupT","nGroupC","meanC","sdC","iteration","ef","rho","sampleSize","idSD","coef","boot_pval"
2,2,3.46,0.5,6,0.2,0.3,15,0.5,-0.0621428824806571,0.75
2,2,3.46,0.5,5,0.2,0.3,15,0.5,-0.182587660198806,0.78
2,2,3.46,0.5,9,0.2,0.3,15,5,0.144726339724684,0.955
2,2,3.46,0.5,1,0.2,0.3,15,1,-0.0139501303979159,0.97
2,2,3.46,0.5,1,0.2,0.3,15,5,-0.0208119678297862,0.98
2,2,3.46,0.5,10,0.2,0.3,20,0.5,-0.59037639299504,0.025
2,2,3.46,0.5,4,0.2,0.3,20,0.5,-0.574726072246449,0.03
2,2,3.46,0.5,10,0.2,0.3,20,1,-1.12717487431109,0.03
2,2,3.46,0.5,7,0.2,0.3,20,0.5,-0.914633412212652,0.035
2,2,3.46,0.5,8,0.2,0.3,20,0.5,-0.667199315605558,0.035
2,2,3.46,0.5,5,0.2,0.3,20,0.5,-1.45646690581543,0.06
2,2,3.46,0.5,9,0.2,0.3,20,0.5,-0.652286695373391,0.07
2,2,3.46,0.5,8,0.2,0.3,20,1,-1.276901017098,0.07
2,2,3.46,0.5,1,0.2,0.3,20,0.5,-1.06931671486086,0.075
2,2,3.46,0.5,2,0.2,0.3,20,0.5,-0.615718323804458,0.08
2,2,3.46,0.5,3,0.2,0.3,20,0.5,-0.821341262372016,0.085
2,2,3.46,0.5,9,0.2,0.3,20,1,-0.525028775642795,0.15
2,2,3.46,0.5,1,0.2,0.3,20,5,-5.06534293995765,0.15
2,2,3.46,0.5,6,0.2,0.3,20,0.5,-0.831660855014889,0.155
2,2,3.46,0.5,2,0.2,0.3,20,1,-0.911119967940749,0.16
2,2,3.46,0.5,2,0.2,0.3,20,5,-2.92506141576303,0.19
2,2,3.46,0.5,3,0.2,0.3,20,1,-0.955977268457218,0.205
2,2,3.46,0.5,6,0.2,0.3,20,5,-2.27141859896903,0.235
2,2,3.46,0.5,7,0.2,0.3,20,1,0.429674604286674,0.335
2,2,3.46,0.5,4,0.2,0.3,20,1,-0.16828125104098,0.345
2,2,3.46,0.5,4,0.2,0.3,20,5,-2.1552271501746,0.37
2,2,3.46,0.5,1,0.2,0.3,20,1,-0.539596881220405,0.435
2,2,3.46,0.5,6,0.2,0.3,20,1,-0.357883900165348,0.5
2,2,3.46,0.5,5,0.2,0.3,20,1,-0.679058456727944,0.53
2,2,3.46,0.5,9,0.2,0.3,20,5,1.42363674390526,0.615
2,2,3.46,0.5,3,0.2,0.3,20,5,-1.38976753993188,0.66
2,2,3.46,0.5,5,0.2,0.3,20,5,-0.548132431112208,0.75
2,2,3.46,0.5,8,0.2,0.3,20,5,-0.148028139038161,0.835
2,2,3.46,0.5,7,0.2,0.3,20,5,0.473491288041942,0.84
2,2,3.46,0.5,10,0.2,0.3,20,5,-0.0459324317639584,0.96
2,2,3.46,0.5,8,0.2,0.3,25,5,-3.92477408610898,0.025
2,2,3.46,0.5,4,0.2,0.3,25,0.5,-0.892623385982915,0.035
2,2,3.46,0.5,9,0.2,0.3,25,1,-0.918612588800897,0.04
2,2,3.46,0.5,3,0.2,0.3,25,0.5,-1.33724718606663,0.045
2,2,3.46,0.5,6,0.2,0.3,25,5,1.868188010312,0.045
2,2,3.46,0.5,9,0.2,0.3,25,0.5,-0.97300328593019,0.05
2,2,3.46,0.5,7,0.2,0.3,25,0.5,-1.11205149194166,0.055
2,2,3.46,0.5,5,0.2,0.3,25,0.5,-0.460980010031108,0.06
2,2,3.46,0.5,6,0.2,0.3,25,0.5,-1.17027181209755,0.06
2,2,3.46,0.5,10,0.2,0.3,25,1,-1.02441541269081,0.06
2,2,3.46,0.5,2,0.2,0.3,25,0.5,-0.903677668673936,0.085
2,2,3.46,0.5,5,0.2,0.3,25,5,-1.99364087467848,0.115
2,2,3.46,0.5,3,0.2,0.3,25,1,-0.735124448334773,0.195
2,2,3.46,0.5,5,0.2,0.3,25,1,-0.580735662781763,0.205
2,2,3.46,0.5,1,0.2,0.3,25,0.5,-0.298385088652481,0.255
2,2,3.46,0.5,6,0.2,0.3,25,1,-0.662245621315606,0.275
2,2,3.46,0.5,8,0.2,0.3,25,1,-0.827670541809539,0.35
2,2,3.46,0.5,4,0.2,0.3,25,1,-0.310708482856853,0.41
2,2,3.46,0.5,10,0.2,0.3,25,0.5,-0.454517549422462,0.47
2,2,3.46,0.5,8,0.2,0.3,25,0.5,-0.649574843260098,0.545
2,2,3.46,0.5,10,0.2,0.3,25,5,0.619556719002048,0.58
2,2,3.46,0.5,4,0.2,0.3,25,5,0.879709267940143,0.585
2,2,3.46,0.5,3,0.2,0.3,25,5,-0.410203456129693,0.59
2,2,3.46,0.5,2,0.2,0.3,25,5,-1.34599758524405,0.61
2,2,3.46,0.5,1,0.2,0.3,25,5,0.685360514955391,0.735
2,2,3.46,0.5,2,0.2,0.3,25,1,0.0507089610271123,0.765
2,2,3.46,0.5,7,0.2,0.3,25,1,-0.13521394621921,0.795
2,2,3.46,0.5,1,0.2,0.3,25,1,0.0355517046350542,0.815
2,2,3.46,0.5,9,0.2,0.3,25,5,0.300631546179375,0.825
2,2,3.46,0.5,7,0.2,0.3,25,5,0.102003690610445,0.905
